id,avg_precip_24h_early,avg_precip_12h_early,avg_precip_current
661,0,0,4.830839217
675,2.593895763,2.593895763,3.119883522
686,0.603906248,0.603906248,1.428610932
690,2.137097389,2.137097389,6.673746943
691,1.060832381,1.060832381,11.67957306
693,0,0,0.261532962
694,1.927128702,1.927128702,5.428023815
695,0.860923201,0.860923201,2.593684604
698,14.00921988,14.00921988,4.032398015
733,6.490636252,6.490636252,3.504243791
742,0,0,2.005434601
743,4.292671084,4.292671084,2.526640713
751,11.59132397,11.59132397,63.1448822
757,19.8872695,19.8872695,2.727224068
779,0.470465615,0.470465615,18.83331537
800,0,0,5.681351602
831,0,0,0
832,0,0,0
835,0.226826012,0.226826012,0
877,4.603149533,4.603149533,0.039529018
885,39.40912151,39.40912151,27.30824351
895,13.85631299,13.85631299,0
898,0.668862272,0.668862272,6.780045629
900,6.780045629,6.780045629,33.83178902
908,5.821842611,5.821842611,10.49088061
909,10.87886626,10.87886626,14.26972687
923,0,0,41.33325958
924,0,0,49.59193707
930,65.15026474,65.15026474,27.81694317
931,0.011181816,0.011181816,3.731118798
932,0.069731176,0.069731176,2.449376911
934,2.449376911,2.449376911,0
937,0,0,12.98274851
946,0,0,4.808789194
947,0.524549708,0.524549708,0
948,14.53427029,14.53427029,0.47276333
949,0,0,0.302135868
952,0,0,10.57239997
953,1.560984902,1.560984902,4.040873289
954,15.6952939,31.68000078,31.68000078
956,31.68000078,31.68000078,9.240000129
957,9.240000129,9.240000129,0
958,47.32507229,47.32507229,23.47017813
959,22.6746645,22.6746645,34.09663916
961,31.15860415,31.15860415,46.10907745
962,24.12163782,24.12163782,31.01056623
963,28.17631435,28.17631435,41.10477257
964,34.09663916,34.09663916,15.45483685
965,46.10907745,46.10907745,17.49856806
966,41.10477257,41.10477257,14.6089716
969,0.113782406,0.113782406,0.240000129
978,22.1256094,22.1256094,2.764189228
986,18.27584827,18.27584827,0.052462453
995,0,4.675479889,4.675479889
997,10.6486218,10.6486218,0
999,0,1.186082318,1.186082318
1000,0,0,0.057299353
1001,4.302739084,4.302739084,14.07198238
1002,3.739574254,3.739574254,1.644950613
1006,0,2.08263588,2.08263588
1007,2.08263588,2.08263588,4.324727297
1008,2.08263588,2.08263588,4.324727297
1009,1.293532416,1.293532416,0
1010,0.427838326,0.427838326,18.37502354
1011,0,0.057239331,0.057239331
1013,0.437734254,0,0
1015,0,0,9.885309339
1017,0.032135435,0.032135435,1.645009961
1022,5.070655674,5.070655674,18.60421228
1023,3.144445628,3.144445628,23.31285048
1024,0.029651256,0.029651256,0.492615262
1026,5.673276424,5.673276424,9.992707521
1033,1.581808095,1.581808095,0.033862233
1038,2.444377482,1.238013491,1.238013491
1039,28.56697536,28.56697536,1.638722426
1040,18.07116318,2.654569566,2.654569566
1063,0.025629919,0.025629919,0
1105,0,0,10.24716613
1116,9.2511549,9.2511549,13.29268408
1155,1.719946325,1.719946325,22.25093651
1180,8.331909895,8.331909895,48.18536377
1181,3.921875119,21.12407589,21.12407589
1182,8.0381172,8.0381172,47.76217651
1183,41.52725792,41.52725792,85.96502972
1184,21.28175163,21.28175163,68.50242901
1185,29.26627231,29.26627231,10.78860492
1187,18.84946966,18.84946966,21.32838297
1188,18.84946966,18.84946966,21.32838297
1194,2.591697615,2.591697615,35.3947649
1195,8.266132087,8.266132087,46.92565727
1255,0.122824579,0.122824579,0.708578557
1256,0.526120203,0.526120203,8.602518082
1257,0.025806583,0.025806583,64.14741039
1258,0.932501385,0.932501385,57.84584236
1259,64.98948765,64.98948765,15.34643281
1263,0.261326343,0.261326343,0
1265,0,0,0
1269,2.844806179,2.844806179,0
1294,10.52331996,10.52331996,39.1677084
1295,4.966531664,4.966531664,0.490281634
1298,16.61870146,16.61870146,19.01139927
1299,0.23999998,0.23999998,17.60372806
1302,15.76337481,15.76337481,34.70657396
1303,15.76337481,15.76337481,34.70657396
